class_name,food,freshness_stage,shelf_life_min,shelf_life_max,image_count
Fresh Banana(1-4),Banana,Fresh,1,4,590
Fresh Bittermelon(1-3),Bittermelon,Fresh,1,3,590
Fresh Cucumber(1-6),Cucumber,Fresh,1,6,590
Fresh eggplant(1-4),Eggplant,Fresh,1,4,590
Fresh Orange(1-9),Orange,Fresh,1,9,590
Fresh Papaya(1-4),Papaya,Fresh,1,4,590
Fresh pineapple(1-15),Pineapple,Fresh,1,15,590
Fresh Tomato(1-10),Tomato,Fresh,1,10,590
Rotten banana(7-13),Banana,Rotten,7,13,590
Rotten Bittermelon(5-8),Bittermelon,Rotten,5,8,590
Rotten Cucumber(12-20),Cucumber,Rotten,12,20,590
Rotten eggplant(8-15),Eggplant,Rotten,8,15,590
Rotten Orange(20-35),Orange,Rotten,20,35,590
Rotten Papaya(7-12),Papaya,Rotten,7,12,590
Rotten Pineapple(25-35),Pineapple,Rotten,25,35,590
Rotten Tomato(24-35),Tomato,Rotten,24,35,590
Semi fresh banana(4-7),Banana,Semi-Fresh,4,7,590
Semi Fresh Bittermelon ( 3-5),Bittermelon,Semi-Fresh,3,5,590
Semi Fresh Cucumber(6-12),Cucumber,Semi-Fresh,6,12,590
Semi fresh Orange(9-20),Orange,Semi-Fresh,9,20,590
Semi Fresh Papaya(4-7),Papaya,Semi-Fresh,4,7,590
Semi fresh Pineapple (15-25),Pineapple,Semi-Fresh,15,25,590
Semi fresh Tomato(10-24),Tomato,Semi-Fresh,10,24,590
Semi_Fresh eggplant(4-8),Eggplant,Semi-Fresh,4,8,590
