class_name,class_path,food,freshness_stage,shelf_life_min,shelf_life_max,shelf_life_midpoint,image_count,image_extensions,sample_width,sample_height,sample_mode,quality_status
Fresh Banana(1-4),D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4),Banana,Fresh,1,4,2.5,590,".jpeg, .jpg",512,512,RGB,Good
Fresh Bittermelon(1-3),D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Bittermelon(1-3),Bittermelon,Fresh,1,3,2.0,590,.jpg,512,512,RGB,Good
Fresh Cucumber(1-6),D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Cucumber(1-6),Cucumber,Fresh,1,6,3.5,590,.jpg,512,512,RGB,Good
Fresh eggplant(1-4),D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh eggplant(1-4),Eggplant,Fresh,1,4,2.5,590,".jpeg, .jpg",512,512,RGB,Good
Fresh Orange(1-9),D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Orange(1-9),Orange,Fresh,1,9,5.0,590,".jpeg, .jpg",512,512,RGB,Good
Fresh Papaya(1-4),D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Papaya(1-4),Papaya,Fresh,1,4,2.5,590,.jpg,512,512,RGB,Good
Fresh pineapple(1-15),D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh pineapple(1-15),Pineapple,Fresh,1,15,8.0,590,".jpeg, .jpg",512,512,RGB,Good
Fresh Tomato(1-10),D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Tomato(1-10),Tomato,Fresh,1,10,5.5,590,".jpeg, .jpg",512,512,RGB,Good
Rotten banana(7-13),D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Rotten banana(7-13),Banana,Rotten,7,13,10.0,590,.jpg,512,512,RGB,Good
Rotten Bittermelon(5-8),D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Rotten Bittermelon(5-8),Bittermelon,Rotten,5,8,6.5,590,.jpg,512,512,RGB,Good
Rotten Cucumber(12-20),D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Rotten Cucumber(12-20),Cucumber,Rotten,12,20,16.0,590,.jpg,512,512,RGB,Good
Rotten eggplant(8-15),D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Rotten eggplant(8-15),Eggplant,Rotten,8,15,11.5,590,.jpg,512,512,RGB,Good
Rotten Orange(20-35),D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Rotten Orange(20-35),Orange,Rotten,20,35,27.5,590,.jpg,512,512,RGB,Good
Rotten Papaya(7-12),D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Rotten Papaya(7-12),Papaya,Rotten,7,12,9.5,590,.jpg,512,512,RGB,Good
Rotten Pineapple(25-35),D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Rotten Pineapple(25-35),Pineapple,Rotten,25,35,30.0,590,.jpg,512,512,RGB,Good
Rotten Tomato(24-35),D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Rotten Tomato(24-35),Tomato,Rotten,24,35,29.5,590,.jpg,512,512,RGB,Good
Semi fresh banana(4-7),D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Semi fresh banana(4-7),Banana,Semi-Fresh,4,7,5.5,590,.jpg,512,512,RGB,Good
Semi Fresh Bittermelon ( 3-5),D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Semi Fresh Bittermelon ( 3-5),Bittermelon,Semi-Fresh,3,5,4.0,590,.jpg,512,512,RGB,Good
