hash,image_count,image_paths
aa887c809fe1aab50a5e74a4ad6023df,3,D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/IMG_20251104_131700306_HDR_AE~2.jpg ; D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/IMG_20251104_131700306_HDR_AE~3.jpg ; D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/IMG_20251104_131700306_HDR_AE~4.jpg
a07439113d08107e2cda4d9be9ab91df,5,D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/IMG_20251104_131713223_HDR_AE~2.jpg ; D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/IMG_20251104_131713223_HDR_AE~3.jpg ; D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/IMG_20251104_131713223_HDR_AE~4.jpg ; D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/IMG_20251104_131713223_HDR_AE~5.jpg ; D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/IMG_20251104_131713223_HDR_AE~6.jpg
8ed8816070aa62b616c72744cb3fefe7,2,D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Cucumber(1-6)/aug_365_IMG_20260204_152047.jpg ; D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Cucumber(1-6)/IMG_20260204_152047.jpg
8a717f29def365f89326b6768206bbdf,2,D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Orange(1-9)/IMG-20251122-WA0000.jpg ; D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Semi fresh Orange(9-20)/IMG-20251122-WA0000.jpg
5fab0d719b4c6ca8b46d9a0dbb09d20e,2,D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Orange(1-9)/IMG-20251122-WA0001.jpg ; D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Semi fresh Orange(9-20)/IMG-20251122-WA0001.jpg
0fed6be899344d69dc9f6614ab4ef393,2,D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Orange(1-9)/IMG-20251122-WA0002.jpg ; D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Semi fresh Orange(9-20)/IMG-20251122-WA0002.jpg
c1ebb46494c427f57328664e15e4cc6b,2,D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Orange(1-9)/IMG-20251122-WA0003.jpg ; D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Semi fresh Orange(9-20)/IMG-20251122-WA0003.jpg
4d361528d8968cebf47fc37605722265,2,D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Orange(1-9)/IMG-20251122-WA0004.jpg ; D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Semi fresh Orange(9-20)/IMG-20251122-WA0004.jpg
f7edd77d3d52b1f7b50aff8d04ffbbea,2,D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Orange(1-9)/IMG-20251122-WA0005.jpg ; D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Semi fresh Orange(9-20)/IMG-20251122-WA0005.jpg
3a465d67b77355fc53492f0ff7b65131,2,D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Orange(1-9)/IMG-20251122-WA0006.jpg ; D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Semi fresh Orange(9-20)/IMG-20251122-WA0006.jpg
fcf967e6bc0358184cba09fffce2a508,2,D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Orange(1-9)/IMG-20251122-WA0007.jpg ; D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Semi fresh Orange(9-20)/IMG-20251122-WA0007.jpg
34313129e83c764d0b94ed01004f8102,2,D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Orange(1-9)/IMG-20251122-WA0008.jpg ; D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Semi fresh Orange(9-20)/IMG-20251122-WA0008.jpg
