class_name,common_width,common_height,min_width,max_width,min_height,max_height,sample_count,inspection_type
Fresh Banana(1-4),512,512,512,512,512,512,590,FULL
Fresh Bittermelon(1-3),512,512,512,512,512,512,590,FULL
Fresh Cucumber(1-6),512,512,512,512,512,512,590,FULL
Fresh eggplant(1-4),512,512,512,512,512,512,590,FULL
Fresh Orange(1-9),512,512,512,512,512,512,590,FULL
Fresh Papaya(1-4),512,512,512,512,512,512,590,FULL
Fresh pineapple(1-15),512,512,512,512,512,512,590,FULL
Fresh Tomato(1-10),512,512,512,512,512,512,590,FULL
Rotten banana(7-13),512,512,512,512,512,512,590,FULL
Rotten Bittermelon(5-8),512,512,512,512,512,512,590,FULL
Rotten Cucumber(12-20),512,512,512,512,512,512,590,FULL
Rotten eggplant(8-15),512,512,512,512,512,512,590,FULL
Rotten Orange(20-35),512,512,512,512,512,512,590,FULL
Rotten Papaya(7-12),512,512,512,512,512,512,590,FULL
Rotten Pineapple(25-35),512,512,512,512,512,512,590,FULL
Rotten Tomato(24-35),512,512,512,512,512,512,590,FULL
Semi fresh banana(4-7),512,512,512,512,512,512,590,FULL
Semi Fresh Bittermelon ( 3-5),512,512,512,512,512,512,590,FULL
Semi Fresh Cucumber(6-12),512,512,512,512,512,512,590,FULL
Semi fresh Orange(9-20),512,512,512,512,512,512,590,FULL
Semi Fresh Papaya(4-7),512,512,512,512,512,512,590,FULL
Semi fresh Pineapple (15-25),512,512,512,512,512,512,590,FULL
Semi fresh Tomato(10-24),512,512,512,512,512,512,590,FULL
Semi_Fresh eggplant(4-8),512,512,512,512,512,512,590,FULL
