image_path,class_name,food,freshness_stage,shelf_life_min,shelf_life_max,shelf_life_midpoint,file_extension,file_size_bytes
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_0_IMG_20251104_131910090_HDR_AE~2.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,32921
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_100_IMG_20251104_131910090_HDR_AE~2.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,26056
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_101_IMG_20251119_201217560_HDR.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,22387
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_102_IMG_20251102_081029133_AE.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,18524
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_103_IMG_20251102_075754032_HDR_AE.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,28177
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_104_IMG_20251102_075643318_HDR_AE.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,22428
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_105_IMG_20251119_201452252_HDR.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,23715
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_106_IMG_20251104_131828715_HDR_AE.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,29069
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_107_IMG_20251103_192521600_HDR.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,14494
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_108_IMG_20251102_075800601_HDR_AE.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,30187
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_109_Banana (17).jpeg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpeg,30125
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_10_Banana (9).jpeg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpeg,21147
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_110_IMG_20260120_095546193_HDR_AE.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,22607
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_111_IMG_20251119_201533248_HDR.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,18711
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_112_IMG_20251104_131834863_HDR_AE.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,23635
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_113_IMG_20251121_144009632_HDR_AE.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,20891
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_114_IMG_20251102_075754032_HDR_AE.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,28517
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_115_IMG_20251120_203431072_HDR.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,19491
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_116_IMG_20251104_131644355_HDR_AE.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,27423
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_117_IMG_20251119_201553830_HDR.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,14436
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_118_IMG_20251103_192129028_HDR.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,29361
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_119_IMG_20251120_203257888_HDR.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,29539
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_11_IMG_20251104_131910090_HDR_AE.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,30604
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_120_IMG_20251102_080945915_AE.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,25058
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_121_IMG_20251102_080952509_HDR_AE.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,27291
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_122_IMG_20251121_143926483_HDR_AE.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,19903
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_123_IMG_20251119_201543985_HDR.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,20243
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_124_IMG_20251121_144250166_HDR_AE.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,36326
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Banana(1-4)/aug_125_IMG_20251104_131808791_HDR_AE.jpg,Fresh Banana(1-4),Banana,Fresh,1,4,2.5,.jpg,29234
