image_path,true_class,predicted_class,confidence
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/fruits-360-100x100-main/Test/Cucumber 13/r_162_100.jpg,Cucumber,Peach,0.5093
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/fruits-360-100x100-main/Test/Cucumber 13/r_163_100.jpg,Cucumber,Peach,0.9047
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/fruits-360-100x100-main/Test/Cucumber 13/r_164_100.jpg,Cucumber,Peach,0.76
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/fruits-360-100x100-main/Test/Cucumber 13/r_165_100.jpg,Cucumber,Peach,0.8773
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/fruits-360-100x100-main/Test/Cucumber 13/r_166_100.jpg,Cucumber,Peach,0.9281
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/fruits-360-100x100-main/Test/Cucumber 13/r_167_100.jpg,Cucumber,Peach,0.9478
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/fruits-360-100x100-main/Test/Cucumber 13/r_168_100.jpg,Cucumber,Peach,0.8871
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/fruits-360-100x100-main/Test/Cucumber 13/r_169_100.jpg,Cucumber,Peach,0.965
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/fruits-360-100x100-main/Test/Cucumber 13/r_170_100.jpg,Cucumber,Peach,0.6087
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/fruits-360-100x100-main/Test/Cucumber 13/r_171_100.jpg,Cucumber,Peach,0.9646
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/fruits-360-100x100-main/Test/Cucumber 13/r_172_100.jpg,Cucumber,Peach,0.9895
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/fruits-360-100x100-main/Test/Cucumber 13/r_173_100.jpg,Cucumber,Peach,0.996
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/fruits-360-100x100-main/Test/Cucumber 13/r_174_100.jpg,Cucumber,Peach,0.9996
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/fruits-360-100x100-main/Test/Cucumber 13/r_175_100.jpg,Cucumber,Peach,0.9984
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/fruits-360-100x100-main/Test/Cucumber 13/r_176_100.jpg,Cucumber,Peach,0.9993
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/fruits-360-100x100-main/Test/Cucumber 13/r_177_100.jpg,Cucumber,Peach,0.9935
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/fruits-360-100x100-main/Test/Cucumber 13/r_178_100.jpg,Cucumber,Peach,0.9651
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/fruits-360-100x100-main/Test/Cucumber 13/r_179_100.jpg,Cucumber,Peach,0.9943
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/fruits-360-100x100-main/Test/Cucumber 13/r_180_100.jpg,Cucumber,Peach,0.9878
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/fruits-360-100x100-main/Test/Cucumber 13/r_181_100.jpg,Cucumber,Peach,0.982
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/fruits-360-100x100-main/Test/Cucumber 13/r_182_100.jpg,Cucumber,Peach,0.8916
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/fruits-360-100x100-main/Test/Cucumber 13/r_185_100.jpg,Cucumber,Peach,0.6099
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/fruits-360-100x100-main/Test/Cucumber 13/r_186_100.jpg,Cucumber,Peach,0.5699
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/fruits-360-100x100-main/Test/Eggplant 1/r_235_100.jpg,Eggplant,Cucumber,0.5798
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/fruits-360-100x100-main/Test/Eggplant 1/r_236_100.jpg,Eggplant,Cucumber,0.7397
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/fruits-360-100x100-main/Test/Eggplant 1/r_237_100.jpg,Eggplant,Cucumber,0.9488
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/fruits-360-100x100-main/Test/Eggplant 1/r_238_100.jpg,Eggplant,Cucumber,0.8632
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/fruits-360-100x100-main/Test/Eggplant 1/r_239_100.jpg,Eggplant,Cucumber,0.8068
D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/fruits-360-100x100-main/Test/Eggplant 1/r_240_100.jpg,Eggplant,Cucumber,0.8781
