class_name,training_count,test_count,total_count,potential_food_group
Almonds 1,232,77,309,Almonds
Apple 10,699,231,930,Apple
Apple 11,430,142,572,Apple
Apple 12,466,154,620,Apple
Apple 13,699,235,934,Apple
Apple 14,466,154,620,Apple
Apple 17,610,201,811,Apple
Apple 18,724,240,964,Apple
Apple 19,729,241,970,Apple
Apple 20,702,234,936,Apple
Apple 21,488,162,650,Apple
Apple 22,696,231,927,Apple
Apple 23,470,156,626,Apple
Apple 5,440,146,586,Apple
Apple 6,473,157,630,Apple
Apple 7,694,229,923,Apple
Apple 8,687,228,915,Apple
Apple 9,694,231,925,Apple
Apple Braeburn 1,492,164,656,Apple
Apple Crimson Snow 1,444,148,592,Apple
Apple Golden 1,480,160,640,Apple
Apple Golden 2,492,164,656,Apple
Apple Golden 3,481,161,642,Apple
Apple Granny Smith 1,492,164,656,Apple
Apple Pink Lady 1,456,152,608,Apple
Apple Red 1,492,164,656,Apple
Apple Red 2,492,164,656,Apple
Apple Red 3,429,144,573,Apple
Apple Red Delicious 1,490,166,656,Apple
Apple Red Yellow 1,492,164,656,Apple
Apple Red Yellow 2,672,219,891,Apple
Apricot 1,492,164,656,Apricot
Avocado 1,427,143,570,Avocado
Avocado 2,491,166,657,Avocado
Avocado Black 1,702,231,933,Avocado
Avocado Black 2,738,246,984,Avocado
Avocado Green 1,702,231,933,Avocado
Banana 1,490,166,656,Banana
Banana 3,233,77,310,Banana
Banana 4,254,84,338,Banana
Banana Lady Finger 1,450,152,602,Banana
Banana Red 1,490,166,656,Banana
Bean pod 1,233,77,310,Bean
Beetroot 1,450,150,600,Beetroot
BlackBerry 3,450,150,600,Blackberry
BlackBerry 4,439,0,439,Blackberry
Blackberry 1,450,150,600,Blackberry
Blackberry 2,225,75,300,Blackberry
Blackberry 4,0,145,145,Blackberry
Blackberry 5,675,225,900,Blackberry
Blueberry 1,462,154,616,Blueberry
Cabbage red 1,149,49,198,Cabbage
Cabbage white 1,144,47,191,Cabbage
Cactus fruit 1,490,166,656,Cactus fruit
Cactus fruit green 1,699,231,930,Cactus fruit
Cactus fruit red 1,712,237,949,Cactus fruit
Caju seed 1,226,75,301,Caju
Cantaloupe 1,492,164,656,Cantaloupe
Cantaloupe 2,492,164,656,Cantaloupe
Cantaloupe 3,470,156,626,Cantaloupe
Carambola 1,490,166,656,Carambola
Carambola 2,473,156,629,Carambola
Carambola 3,960,320,1280,Carambola
Carrot 1,151,50,201,Carrot
Cauliflower 1,702,234,936,Cauliflower
Celery 1,242,80,322,Celery
Cherimoya 1,972,320,1292,Cherimoya
Cherry 1,492,164,656,Cherry
Cherry 2,738,246,984,Cherry
Cherry 3,699,231,930,Cherry
Cherry 4,699,231,930,Cherry
Cherry 5,693,228,921,Cherry
Cherry Rainier 1,738,246,984,Cherry
Cherry Rainier 2,696,231,927,Cherry
Cherry Rainier 3,686,228,914,Cherry
Cherry Sour 1,456,150,606,Cherry
