original_class_name,normalized_food,mapping_confidence,mapping_reason
Almonds 1,Almonds,High,Primary noun derived from class name
Apple 10,Apple,High,Apple variety
Apple 11,Apple,High,Apple variety
Apple 12,Apple,High,Apple variety
Apple 13,Apple,High,Apple variety
Apple 14,Apple,High,Apple variety
Apple 17,Apple,High,Apple variety
Apple 18,Apple,High,Apple variety
Apple 19,Apple,High,Apple variety
Apple 20,Apple,High,Apple variety
Apple 21,Apple,High,Apple variety
Apple 22,Apple,High,Apple variety
Apple 23,Apple,High,Apple variety
Apple 5,Apple,High,Apple variety
Apple 6,Apple,High,Apple variety
Apple 7,Apple,High,Apple variety
Apple 8,Apple,High,Apple variety
Apple 9,Apple,High,Apple variety
Apple Braeburn 1,Apple,High,Apple variety
Apple Crimson Snow 1,Apple,High,Apple variety
Apple Golden 1,Apple,High,Apple variety
Apple Golden 2,Apple,High,Apple variety
Apple Golden 3,Apple,High,Apple variety
Apple Granny Smith 1,Apple,High,Apple variety
Apple Pink Lady 1,Apple,High,Apple variety
Apple Red 1,Apple,High,Apple variety
Apple Red 2,Apple,High,Apple variety
Apple Red 3,Apple,High,Apple variety
Apple Red Delicious 1,Apple,High,Apple variety
Apple Red Yellow 1,Apple,High,Apple variety
Apple Red Yellow 2,Apple,High,Apple variety
Apricot 1,Apricot,High,Primary noun derived from class name
Avocado 1,Avocado,High,Produce variety
Avocado 2,Avocado,High,Produce variety
Avocado Black 1,Avocado,High,Produce variety
Avocado Black 2,Avocado,High,Produce variety
Avocado Green 1,Avocado,High,Produce variety
Banana 1,Banana,High,Banana variety
Banana 3,Banana,High,Banana variety
Banana 4,Banana,High,Banana variety
Banana Lady Finger 1,Banana,High,Banana variety
Banana Red 1,Banana,High,Banana variety
Bean pod 1,Bean,High,Primary noun derived from class name
Beetroot 1,Beetroot,High,Primary noun derived from class name
BlackBerry 3,Blackberry,High,Berry variety
BlackBerry 4,Blackberry,High,Berry variety
Blackberry 1,Blackberry,High,Berry variety
Blackberry 2,Blackberry,High,Berry variety
Blackberry 4,Blackberry,High,Berry variety
Blackberry 5,Blackberry,High,Berry variety
Blueberry 1,Blueberry,High,Berry variety
Cabbage red 1,Cabbage,High,Cruciferous produce variety
Cabbage white 1,Cabbage,High,Cruciferous produce variety
Cactus fruit 1,Cactus Fruit,High,Multi-word botanical produce name
Cactus fruit green 1,Cactus Fruit,High,Multi-word botanical produce name
Cactus fruit red 1,Cactus Fruit,High,Multi-word botanical produce name
Caju seed 1,Caju,High,Primary noun derived from class name
Cantaloupe 1,Cantaloupe,High,Primary noun derived from class name
Cantaloupe 2,Cantaloupe,High,Primary noun derived from class name
Cantaloupe 3,Cantaloupe,High,Primary noun derived from class name
Carambola 1,Carambola,High,Primary noun derived from class name
Carambola 2,Carambola,High,Primary noun derived from class name
Carambola 3,Carambola,High,Primary noun derived from class name
Carrot 1,Carrot,High,Primary noun derived from class name
Cauliflower 1,Cauliflower,High,Primary noun derived from class name
Celery 1,Celery,High,Primary noun derived from class name
Cherimoya 1,Cherimoya,High,Primary noun derived from class name
Cherry 1,Cherry,High,Drupe variety
Cherry 2,Cherry,High,Drupe variety
Cherry 3,Cherry,High,Drupe variety
Cherry 4,Cherry,High,Drupe variety
Cherry 5,Cherry,High,Drupe variety
Cherry Rainier 1,Cherry,High,Drupe variety
Cherry Rainier 2,Cherry,High,Drupe variety
Cherry Rainier 3,Cherry,High,Drupe variety
Cherry Sour 1,Cherry,High,Drupe variety
Cherry Wax 1,Cherry,High,Drupe variety
Cherry Wax 2,Cherry,High,Drupe variety
Cherry Wax Black 1,Cherry,High,Drupe variety
Cherry Wax Red 1,Cherry,High,Drupe variety
Cherry Wax Red 2,Cherry,High,Drupe variety
Cherry Wax Red 3,Cherry,High,Drupe variety
Cherry Wax Yellow 1,Cherry,High,Drupe variety
Chestnut 1,Chestnut,High,Primary noun derived from class name
Clementine 1,Clementine,High,Primary noun derived from class name
Cocos 1,Cocos,High,Primary noun derived from class name
Corn 1,Corn,High,Primary noun derived from class name
Corn Husk 1,Corn,High,Primary noun derived from class name
Cucumber 1,Cucumber,High,Cucurbit variety
Cucumber 10,Cucumber,High,Cucurbit variety
Cucumber 11,Cucumber,High,Cucurbit variety
Cucumber 12,Cucumber,High,Cucurbit variety
Cucumber 13,Cucumber,High,Cucurbit variety
Cucumber 3,Cucumber,High,Cucurbit variety
Cucumber 4,Cucumber,High,Cucurbit variety
Cucumber 5,Cucumber,High,Cucurbit variety
Cucumber 6,Cucumber,High,Cucurbit variety
Cucumber 7,Cucumber,High,Cucurbit variety
Cucumber 8,Cucumber,High,Cucurbit variety
Cucumber 9,Cucumber,High,Cucurbit variety
Dates 1,Dates,High,Primary noun derived from class name
Dates 2,Dates,High,Primary noun derived from class name
Eggplant 1,Eggplant,High,Eggplant variety
Eggplant long 1,Eggplant,High,Eggplant variety
Fig 1,Fig,High,Primary noun derived from class name
Ginger 2,Ginger,High,Rhizome spice produce
Ginger Root 1,Ginger,High,Rhizome spice produce
Gooseberry 1,Gooseberry,High,Primary noun derived from class name
Granadilla 1,Granadilla,High,Primary noun derived from class name
Grape 1,Grape,High,Grape variety
Grape Blue 1,Grape,High,Grape variety
Grape Pink 1,Grape,High,Grape variety
Grape White 1,Grape,High,Grape variety
Grape White 2,Grape,High,Grape variety
