normalized_food,training_images,test_images,total_images,training_percentage,test_percentage
Apple,16571,5506,22077,23.97%,23.94%
Banana,1917,645,2562,2.77%,2.8%
Cucumber,6225,2065,8290,9.0%,8.98%
Eggplant,708,236,944,1.02%,1.03%
Grape,4599,1538,6137,6.65%,6.69%
Orange,3325,1102,4427,4.81%,4.79%
Papaya,1217,404,1621,1.76%,1.76%
Peach,4803,1597,6400,6.95%,6.94%
Pear,12281,4087,16368,17.77%,17.77%
Pepper,6242,2074,8316,9.03%,9.02%
Pineapple,983,329,1312,1.42%,1.43%
Tomato,10259,3413,13672,14.84%,14.84%
