original_class_name,training_count,test_count,total_count
Almonds 1,232,77,309
Apple 10,699,231,930
Apple 11,430,142,572
Apple 12,466,154,620
Apple 13,699,235,934
Apple 14,466,154,620
Apple 17,610,201,811
Apple 18,724,240,964
Apple 19,729,241,970
Apple 20,702,234,936
Apple 21,488,162,650
Apple 22,696,231,927
Apple 23,470,156,626
Apple 5,440,146,586
Apple 6,473,157,630
Apple 7,694,229,923
Apple 8,687,228,915
Apple 9,694,231,925
Apple Braeburn 1,492,164,656
Apple Crimson Snow 1,444,148,592
Apple Golden 1,480,160,640
Apple Golden 2,492,164,656
Apple Golden 3,481,161,642
Apple Granny Smith 1,492,164,656
Apple Pink Lady 1,456,152,608
Apple Red 1,492,164,656
Apple Red 2,492,164,656
Apple Red 3,429,144,573
Apple Red Delicious 1,490,166,656
Apple Red Yellow 1,492,164,656
Apple Red Yellow 2,672,219,891
Apricot 1,492,164,656
Avocado 1,427,143,570
Avocado 2,491,166,657
Avocado Black 1,702,231,933
Avocado Black 2,738,246,984
Avocado Green 1,702,231,933
Banana 1,490,166,656
Banana 3,233,77,310
Banana 4,254,84,338
Banana Lady Finger 1,450,152,602
Banana Red 1,490,166,656
Bean pod 1,233,77,310
Beetroot 1,450,150,600
BlackBerry 3,450,150,600
BlackBerry 4,439,0,439
Blackberry 1,450,150,600
Blackberry 2,225,75,300
Blackberry 4,0,145,145
Blackberry 5,675,225,900
Blueberry 1,462,154,616
Cabbage red 1,149,49,198
Cabbage white 1,144,47,191
Cactus fruit 1,490,166,656
Cactus fruit green 1,699,231,930
Cactus fruit red 1,712,237,949
Caju seed 1,226,75,301
Cantaloupe 1,492,164,656
Cantaloupe 2,492,164,656
Cantaloupe 3,470,156,626
Carambola 1,490,166,656
Carambola 2,473,156,629
Carambola 3,960,320,1280
Carrot 1,151,50,201
Cauliflower 1,702,234,936
Celery 1,242,80,322
Cherimoya 1,972,320,1292
Cherry 1,492,164,656
Cherry 2,738,246,984
Cherry 3,699,231,930
Cherry 4,699,231,930
Cherry 5,693,228,921
Cherry Rainier 1,738,246,984
Cherry Rainier 2,696,231,927
Cherry Rainier 3,686,228,914
Cherry Sour 1,456,150,606
Cherry Wax 1,675,225,900
Cherry Wax 2,228,76,304
Cherry Wax Black 1,492,164,656
Cherry Wax Red 1,492,164,656
Cherry Wax Red 2,452,150,602
Cherry Wax Red 3,454,150,604
Cherry Wax Yellow 1,492,164,656
Chestnut 1,450,153,603
Clementine 1,490,166,656
Cocos 1,490,166,656
Corn 1,450,150,600
Corn Husk 1,462,154,616
Cucumber 1,150,50,200
Cucumber 10,720,240,960
Cucumber 11,234,78,312
Cucumber 12,392,130,522
Cucumber 13,468,156,624
Cucumber 3,474,157,631
Cucumber 4,228,76,304
Cucumber 5,708,234,942
Cucumber 6,977,325,1302
Cucumber 7,709,234,943
Cucumber 8,697,231,928
Cucumber 9,468,154,622
Dates 1,490,166,656
Dates 2,959,319,1278
Eggplant 1,468,156,624
Eggplant long 1,240,80,320
Fig 1,702,234,936
Ginger 2,436,144,580
Ginger Root 1,297,99,396
Gooseberry 1,466,154,620
Granadilla 1,490,166,656
Grape 1,469,155,624
Grape Blue 1,984,328,1312
Grape Pink 1,492,164,656
Grape White 1,490,166,656
